"","Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Proximity_to_Industrial_Areas","Population_Density","Air.Quality"
"2472",26,64.6,1.1,9.2,14.1,5.2,0.72,10.1,246,"Good"
"2473",24,67.8,1.3,7,15.6,3,0.98,12.1,415,"Good"
"2475",23.4,50.1,17,23.4,28.5,10.6,0.89,10.2,200,"Good"
"2476",22.6,46.8,20.5,22.9,28.3,8.7,1.03,10.9,518,"Good"
"2477",37.6,94.5,17.5,42.8,37,19.1,2.13,3,602,"Hazardous"
"2478",35.3,66.8,25.8,35.6,43,14.6,1.96,4.8,666,"Poor"
"2479",32.8,82.7,4.4,11.3,27.7,11.4,1.58,5.2,322,"Moderate"
"2480",34.7,69.9,29.7,43.7,29.5,11.6,1.6,6.9,398,"Moderate"
"2481",31.1,59.7,29,47.1,24.9,10.2,2.17,4.4,822,"Poor"
"2482",39.4,71,0.6,10.8,24.7,16.2,1.25,5,441,"Moderate"
"2483",41.2,78.8,30.7,32.2,42.1,19,2.53,5,635,"Poor"
"2484",35,72.3,38.4,47.6,28.4,5.5,1.24,7.6,640,"Moderate"
"2485",26.9,72.7,7.5,24.3,23.9,15.1,1.67,5.2,454,"Moderate"
"2486",21.8,78.4,17,20.6,21.2,3.3,0.92,10.2,203,"Good"
"2487",34.6,81.4,21.9,32.1,29.6,1.9,1.19,6.9,512,"Moderate"
"2488",21.1,80.4,3.7,9.6,17.6,4.5,1,11.3,333,"Good"
"2490",23.8,73.7,14,16.6,14.5,2.3,1.17,10.2,606,"Good"
"2491",35.1,80.8,47.6,59.2,27.1,12.9,1.49,6.4,611,"Moderate"
"2493",22.1,58.9,4.9,11.3,21.9,4.2,1.03,10.3,324,"Good"
"2494",21.9,65.2,0.5,2,15.4,4.4,0.81,12.7,216,"Good"
"2496",30.9,90.8,15,29.6,29,8.3,1.38,10.3,640,"Moderate"
"2497",25.7,50.4,2.5,14.9,33.6,10.5,1.44,7.7,600,"Moderate"
"2498",23.6,54.1,41.9,48.4,23.5,5.3,1.02,11.2,398,"Good"
"2499",41.4,86,25.7,35.8,39.6,4.8,1.99,6.1,449,"Poor"
"2500",18.9,44.5,0.2,2.7,14.5,1.5,0.92,11.5,590,"Good"
"2501",31.2,62.3,29.1,39.3,22,10.1,1.51,5.2,571,"Moderate"
"2502",22.6,60,7.4,12.9,18.8,3.9,0.89,17.1,256,"Good"
"2505",30.2,96.8,47.1,76.3,34.5,18.7,2.86,5.8,582,"Hazardous"
"2506",26.3,63.5,5.1,10.9,14.6,6.4,1.13,15.9,593,"Good"
"2509",37.5,92,29,38.5,33,25.2,1.86,8.1,339,"Poor"
"2510",27.9,45.8,1.7,4.8,16.1,2.4,0.95,11.8,486,"Good"
"2512",40.5,100.2,65,81.4,39.1,17.1,1.6,5.9,553,"Poor"
"2513",26.3,64.3,73.4,81.3,11.9,3.4,0.87,10.2,390,"Good"
"2514",23.5,75.8,3.8,7.7,21.1,6.9,0.82,16.9,258,"Good"
"2515",43.9,80.9,4.6,15.6,37.6,21.9,2.05,5.4,387,"Poor"
"2516",33.3,73,7,23,24.2,6.6,1.83,9.1,734,"Moderate"
"2517",22.9,51.6,3.3,7,12.3,5.8,0.88,12,349,"Good"
"2519",52.4,102.6,204,221.6,44.4,12.9,3.16,3.9,588,"Hazardous"
"2520",29.1,93.2,8,19.3,35.6,25.8,1.72,4.2,473,"Poor"
"2521",25,69.5,4.2,9,28.8,5.6,1.19,10.1,232,"Good"
"2523",31.6,82.6,34.2,38.6,20.8,7.6,1.83,10.4,477,"Moderate"
"2524",29.9,48.1,36.2,41.4,24.8,3.3,0.91,10.9,554,"Good"
"2525",26,69.7,13.1,17.6,18,2.6,1.03,11.5,245,"Good"
"2526",41.6,91.4,13,27.3,44.6,8.7,3.35,5.2,844,"Hazardous"
"2528",21.8,47.6,24.3,32.4,21.5,7.5,0.96,10.8,428,"Good"
"2529",29.3,52.3,22.6,31.6,25.6,7,1.68,6.5,508,"Moderate"
"2530",40.5,87.4,46.9,66.7,39,9.2,1.83,3.3,680,"Poor"
"2531",37,61.2,44.2,56.1,21.1,5.7,1.76,9.8,465,"Poor"
"2532",25.8,58.8,0.3,10.3,25,9.9,1.62,9.9,622,"Moderate"
"2533",26.3,86.9,4.5,22.1,37.1,11,2.22,5.1,556,"Poor"
"2534",50.7,104.9,2.4,9.5,41.7,21.5,2.34,4.3,861,"Hazardous"
"2535",22.4,42.1,1.2,9.4,25.6,8.5,0.84,11.9,485,"Good"
"2537",33.9,76.5,3.5,8.3,21.9,10.8,1.4,5.1,345,"Moderate"
"2539",28.4,82.6,2,14.6,27.4,3.7,1.37,5.9,339,"Moderate"
"2541",26.8,60.7,28.9,33.8,26.2,3.6,0.93,11.9,411,"Good"
"2542",41.2,93,24.2,44.3,33.9,12.6,2.09,5.3,732,"Poor"
"2543",31.2,64.1,28.1,36.6,22.8,13.4,1.64,6.9,634,"Moderate"
"2544",25.7,58.7,15.9,19.2,21.9,6.3,1.03,10.3,301,"Good"
"2545",29,80.6,0.4,23.9,30.8,9.5,2.69,3.4,656,"Hazardous"
"2546",30.2,72.3,3.4,14.2,28.2,8.5,1.84,6.9,422,"Moderate"
"2547",39.7,59.7,51.4,60.1,23.1,16.7,1.94,3.9,484,"Poor"
"2548",27.9,59.2,35.9,44.9,26.1,16.4,1.31,8.3,650,"Moderate"
"2549",28.4,57,5.6,11.4,23.9,4.4,0.96,11.3,370,"Good"
"2550",27.3,81.7,0.4,4,26.1,3.9,1.07,11.3,520,"Good"
"2551",35,80.4,6.7,30.2,48.4,14.5,1.96,5.2,747,"Poor"
"2552",23,45.5,11.1,17.6,26.9,3.5,1.17,14.5,410,"Good"
"2553",27.3,77.9,20.9,33.3,32.8,9.9,1.3,7.5,580,"Moderate"
"2554",27,78.6,1.8,6.3,19.4,5.1,1,13,202,"Good"
"2555",36.3,99.2,13.1,34.1,34.7,21,2.26,4.5,742,"Poor"
"2557",36.3,59.6,30.8,35.6,41.4,10.7,1.95,3.7,617,"Poor"
"2559",28.5,62.2,84.5,102.4,24.8,0.8,1.41,5.1,287,"Moderate"
"2560",26.1,49.9,0,5.9,18.7,9.7,0.82,10.4,556,"Good"
"2561",24.4,71.5,12,19,20.3,3,0.91,13,473,"Good"
"2562",27.1,69.3,2,7.7,16,5,1.07,11.1,501,"Good"
"2563",22.5,68.2,2.7,11.3,20.6,6.1,0.95,10.8,530,"Good"
"2564",20.9,42.4,19.6,24.7,18.2,7,0.83,11.9,316,"Good"
"2565",31.5,70.3,19.9,38.8,21.8,6.3,1.95,6.3,707,"Poor"
"2566",35.5,91,13.1,17.2,20.7,15.1,1.99,5.4,597,"Poor"
"2568",34.4,71.7,44,54.6,30.6,25.9,2.41,3.4,595,"Poor"
"2569",25.7,58.1,7.8,11.9,21.4,3.4,1.06,21.5,589,"Good"
"2571",30.3,78.9,5.2,8.6,12.5,6.6,0.78,11,403,"Good"
"2573",27.4,51,7,16.8,26.9,4.6,1.55,11.6,436,"Moderate"
"2574",34.9,76.9,7.5,25.2,31.4,14.4,1.43,5,342,"Moderate"
"2575",26.3,58.2,10.2,24.6,23.1,9,1.5,6,345,"Moderate"
"2576",35.2,72,3.6,11.4,29.4,10.2,1.39,6.5,737,"Moderate"
"2577",57.2,80.2,47.4,56.9,43.2,24.8,2.26,3,876,"Hazardous"
"2578",24.4,76.8,10.1,21.3,29.1,18,2.17,6.8,464,"Poor"
"2580",34.7,68.8,35.1,59.4,22.7,10.3,2.33,2.6,816,"Hazardous"
"2581",22.7,64.4,14.2,22.5,21.5,8.1,1.06,12.2,389,"Good"
"2582",31.4,69.8,20.4,32,16.3,9.7,1.49,8,643,"Moderate"
"2584",29.5,60.8,9.6,25,28.5,5.9,1.58,12.1,386,"Moderate"
"2586",41.4,74.5,12,37.6,46.8,13.8,3.61,4.3,632,"Hazardous"
"2587",24,68.8,0.8,8.6,20.9,2.4,1.16,10.5,235,"Good"
"2588",49.5,99.9,0.8,26.1,28.8,17.1,1.8,4.8,755,"Hazardous"
"2590",22.7,49.7,18.4,27.1,20.4,6,0.92,10.5,565,"Good"
"2591",34.8,87.9,90.5,108.9,45.4,21.4,2.11,3.4,521,"Hazardous"
"2594",31.7,72.4,49.3,57.3,28.1,5.2,1.31,6.6,373,"Moderate"
"2595",34,60,28.4,38.5,26.8,14.4,2.1,3.7,391,"Poor"
"2596",19.5,79.5,60.5,85.9,44,21.9,2.68,7.5,689,"Hazardous"
"2597",35.9,66.6,27.1,49.5,36.3,15.9,1.91,5.3,426,"Poor"
"2598",17.4,45.8,26.6,33,22,7.3,0.97,10.8,451,"Good"
"2600",24.7,56.3,2,5.5,13.9,4.1,0.89,12.2,510,"Good"
"2601",26.2,79.4,9.7,14.5,26.9,7.5,1.02,10.3,322,"Good"
"2602",20.8,62.7,19.4,25.8,19.5,5.8,1.11,10.4,458,"Good"
"2603",20.9,74.5,1,8.1,10.5,1.5,0.9,10.5,278,"Good"
"2604",28.4,63.8,2.8,9.7,17.6,6.2,0.91,16.5,578,"Good"
"2606",35.5,90.9,36.7,48.4,35.8,17.5,2.23,11.8,519,"Poor"
"2607",20.5,52.8,7.7,12,14,7.8,1.1,10.6,320,"Good"
"2609",21.2,40,2.3,6.1,15.1,6.4,1.04,15.8,481,"Good"
"2610",26.1,43.6,2.8,11,15.4,8.7,1.08,11.2,574,"Good"
"2611",30.4,103.6,17.5,40.4,24.1,-6.2,2.21,7.3,521,"Poor"
"2612",25.5,83.5,11.1,26.3,30.5,14.6,2.27,3.7,698,"Hazardous"
"2613",29.4,87.6,1.9,27.1,35.4,20.4,2.02,4.6,769,"Hazardous"
"2614",22,72.9,20.9,25.6,13.4,6.3,1.02,10.9,544,"Good"
"2615",28.8,76.7,16.8,23.8,25.5,4.1,1.09,11.7,376,"Good"
"2616",26.2,67.3,10.2,19.3,20.8,9.9,1.66,6.4,419,"Moderate"
"2617",23.8,70.6,4.7,18.1,31.1,9.3,1.48,5.1,609,"Moderate"
"2618",44,84.1,39.5,73,38.9,12.9,2.48,4,530,"Hazardous"
"2619",32.8,100.5,21.8,37.5,29.6,6.6,2.94,6.1,774,"Hazardous"
"2621",25.1,71.1,7.3,11.3,17.9,4.8,1,13.4,283,"Good"
"2622",27.3,73.7,13.8,28.4,27.5,16.4,1.4,7.3,293,"Moderate"
"2623",34.8,88.5,15.1,26.4,34,8.4,1.7,5.5,577,"Moderate"
"2625",32.3,52.4,24.4,30.9,27.7,6.5,0.95,10.7,436,"Good"
"2627",19.7,39.9,2,6.8,28.4,7.6,1.14,10.2,347,"Good"
"2628",25.9,70.2,16.7,27.6,26.2,8.6,2.03,6.4,442,"Moderate"
"2630",34.7,72,9.7,33.5,33.9,13.2,2.3,4.4,475,"Poor"
"2631",26.7,51.8,1.3,7.9,22.3,5,0.97,12.8,296,"Good"
"2632",36.8,89.3,9.3,17.3,29.2,14.7,1.62,7,422,"Moderate"
"2633",26.2,70.8,6.5,12.7,19,2.6,1.01,12.2,263,"Good"
"2634",36.2,73.7,9.6,32.4,41.4,25.5,1.97,10,782,"Hazardous"
"2635",28.1,47.9,2.7,6.7,26,8.3,1.03,11.1,228,"Good"
"2636",24.5,56.2,24.6,29.6,13.5,4.3,0.93,11.5,364,"Good"
"2637",25.6,46.5,0.6,8.1,27.8,3.9,1.1,14.2,534,"Good"
"2638",34.7,97.6,6.1,19.6,23.1,19.6,2.12,6.4,596,"Poor"
"2642",29.9,107.5,33.5,52.1,27.7,17.6,2.42,3.4,592,"Poor"
"2643",28,56.8,5.2,8.9,26.6,8.6,1.04,10.8,593,"Good"
"2644",29,90.6,24.2,30.3,31.4,9.4,1.38,6.8,303,"Moderate"
"2645",39,90.6,55.4,67.5,23.6,16.3,2.13,3.8,467,"Poor"
"2646",35.1,85.7,19.7,26.3,24.1,9.9,1.45,8.2,483,"Moderate"
"2648",34.7,77,10.7,26.5,19.8,21.3,2.12,5.2,633,"Poor"
"2649",17,47.4,10.1,16.5,24.7,2.7,1.02,11,555,"Good"
"2650",35,56,23.4,27.1,32.7,11.5,1.62,5.8,452,"Moderate"
"2651",25.1,50.6,1,4.6,21.6,6.2,1.1,10.1,388,"Good"
"2652",28.4,66.1,5.6,9.5,18.9,3.6,0.97,11.8,560,"Good"
"2653",26.6,40.2,3.8,5.8,14.9,1.3,0.88,10.1,341,"Good"
"2654",25.4,78.6,4.1,6.7,21.3,9.1,1.4,10.1,543,"Moderate"
"2655",27.9,56.7,0.7,6,14.5,5.9,1.1,12.9,275,"Good"
"2657",42.6,92.1,2.9,12.8,34.5,12,2.06,6.8,562,"Poor"
"2658",40.6,90.4,67.5,85.6,30.3,16.1,2.32,3.9,485,"Hazardous"
"2659",33.8,86.2,0.4,12.2,31.1,3.2,2.06,3.7,618,"Poor"
"2660",25.7,70.3,0.7,5.4,14,10,0.91,11.1,374,"Good"
"2661",28.1,78.4,26.9,33.2,21.9,5,0.77,11.3,249,"Good"
"2662",24.2,41.9,2.4,6.5,17.9,6.8,0.88,10.1,500,"Good"
"2663",33.8,81.1,7.3,21.3,38.8,22,2.35,6.3,693,"Poor"
"2664",23.7,73.3,4.7,19,23,8.4,1.4,5.5,668,"Moderate"
"2665",31,78,1.5,5.7,20,4.7,1.02,11,279,"Good"
"2666",19.4,62,13.7,20.1,15,5.5,1.11,13.6,475,"Good"
"2668",27.6,66.9,47.1,60.3,32.4,14,2.2,3.4,426,"Poor"
"2671",25,48.9,1.8,7,17.5,4.1,0.83,15.2,366,"Good"
"2672",24,70.5,1.1,4.1,19.1,7.1,1.03,10.3,584,"Good"
"2673",27.7,72.6,99.7,102.3,31.2,7.1,1.21,5.2,506,"Moderate"
"2674",26.1,48.2,15.7,16.5,17.1,5.3,0.94,11.1,344,"Good"
"2675",34.8,54.9,13.2,18.9,20.1,11,1.63,5.3,385,"Moderate"
"2676",35.1,65.7,26.8,41.9,32.5,21.7,1.92,5.6,571,"Poor"
"2677",25.5,68.2,20.4,23.5,13.9,3.2,0.96,10.3,486,"Good"
"2678",24.5,44.8,21.1,29.1,23.9,6.7,0.95,17.8,491,"Good"
"2679",40.9,78.5,1.7,21.6,39.6,25.9,2.8,3.4,641,"Hazardous"
"2680",24.5,78.6,19.2,25.8,13.5,3.1,0.93,11.7,468,"Good"
"2681",29.3,73.7,1.5,1.9,13.1,3.5,1.07,10.6,455,"Good"
"2682",29.5,69.6,17.5,26.1,12,4.8,1.14,13.7,531,"Good"
"2683",32.6,63.8,4.6,21.9,20.9,14.5,1.6,7.7,605,"Moderate"
"2684",39.4,69,7.3,27.6,36.2,4.2,2.19,7.1,428,"Poor"
"2685",25,59.9,1,5.4,22.6,5,1.15,18.4,509,"Good"
"2686",31.9,93.9,32.7,44.6,38.8,16.7,2.52,3.4,564,"Poor"
"2688",34.7,63.4,79.7,92,29.9,4,1.36,6.1,566,"Moderate"
"2689",33.5,79.9,6.8,17.6,33,18.3,1.78,6.3,545,"Moderate"
"2690",38.1,80.9,20.4,53,39.5,26.8,2.27,3.2,613,"Hazardous"
"2691",28.4,77.5,39,55.4,24.2,7.4,2.06,8,707,"Poor"
"2692",26.3,62.6,1.1,9.1,15.1,8.7,1.08,12.4,531,"Good"
"2694",29.9,57.9,7.3,9.9,22.6,3.8,1.05,10.1,227,"Good"
"2695",23.2,61.9,0.9,6.1,26.6,3.9,0.99,11.9,449,"Good"
"2696",49,93.1,12.4,39.7,37.1,24.6,2.66,3.5,820,"Hazardous"
"2697",22.9,80,12.1,18.3,23.8,2.5,1.09,12.8,189,"Good"
"2698",30.3,88.5,23.4,35.8,19.3,6.5,1.37,6.9,737,"Moderate"
"2699",25.8,68.6,18.1,26,25.7,5.7,0.81,10.2,351,"Good"
"2700",34.7,94.5,12.3,31.9,39.8,20.2,1.58,4.4,424,"Poor"
"2701",28.8,75.2,8.8,15.5,25.4,7.3,1.26,8.7,580,"Moderate"
"2702",39.5,88.6,48.6,71,27.2,21.2,2.43,5.2,693,"Poor"
"2703",25.3,61.9,21.7,28.6,11.2,0.2,0.99,13.4,542,"Good"
"2704",26.1,51.8,2.7,4.5,18.1,4.9,0.94,10.2,277,"Good"
"2705",35.1,81.5,1.7,10.9,29.1,11,1.48,11.5,337,"Moderate"
"2707",17.8,84.3,7.5,23,27.7,7.9,1.35,7.5,315,"Moderate"
"2709",33.1,72.7,60.7,73.6,45.6,7.6,1.91,3.8,446,"Poor"
"2710",33.9,65.9,11.6,23.8,25.1,11.2,1.13,7.3,427,"Moderate"
"2711",25.3,55.4,7.3,13.2,18.5,3.3,0.89,17.1,214,"Good"
"2712",23.6,60.7,2.9,6.9,15.8,3,1.09,12.4,506,"Good"
"2713",35.8,90,9,27.5,37.6,17.1,2.02,4.6,644,"Poor"
"2714",37.1,74,3.1,24.9,42.6,10.6,2.08,4.4,406,"Poor"
"2715",29.7,77.9,1.4,16.2,37,11.2,2.52,5.6,430,"Poor"
"2716",17.6,72.9,14.1,14.9,26.3,6.4,0.87,14.8,201,"Good"
"2717",20.3,44.4,1.7,11.6,18.2,3.4,1.16,14.3,407,"Good"
"2718",29.3,44.4,1.4,5.7,14.4,2.3,0.98,10.1,284,"Good"
"2719",36.3,88.7,13.5,25.7,29.9,6.7,2.02,4.8,739,"Poor"
"2720",33,73.5,14.2,21.9,33.5,3.3,1.55,6,582,"Moderate"
"2722",21.5,59.8,8.6,12.6,20.3,5.5,1.08,10.1,470,"Good"
"2724",30.1,72,14.4,19.7,22.7,10.7,1.46,6.4,372,"Moderate"
"2725",37.5,64.7,3.5,18.5,25.1,15.9,1.7,7.2,399,"Moderate"
"2726",30.3,49.2,50.9,61.1,28.2,6.6,1.39,8.4,425,"Moderate"
"2727",41.4,93,30.7,45.3,40.3,12.5,1.63,4.2,600,"Poor"
"2728",25.7,57.2,7.5,14.7,14.8,2.6,1.08,14,319,"Good"
"2730",26.1,71.3,13.6,17.4,18.2,8.2,0.92,10.4,319,"Good"
"2731",29.2,61.8,7.6,10.4,26.9,4.4,0.95,10.1,517,"Good"
"2732",29.2,55.5,43.3,46.8,24,8.7,1.53,5.8,640,"Moderate"
"2733",27.8,83.6,23.7,37.3,26.1,8.2,1.22,7.4,420,"Moderate"
"2735",26.4,74.5,23.1,25.7,15.3,5.8,1.03,10.2,239,"Good"
"2736",33.3,98.7,20.9,36.7,35.1,16,1.73,5.1,578,"Poor"
"2737",40.8,91.2,84.9,91.3,46.5,27.7,2.37,8.5,861,"Hazardous"
"2738",27.8,75.4,8.9,20.8,33.6,4.1,1.31,5.5,626,"Moderate"
"2739",21.5,52.5,4.3,13.9,30,12.6,1.42,5,333,"Moderate"
"2740",26.3,64.6,0.6,5.1,14.2,3.4,0.98,10.3,189,"Good"
"2741",24.8,47.8,37,40.9,19.6,6.1,0.93,14.2,557,"Good"
"2742",25.3,49.4,19.5,32,24.9,7.2,1.73,5.8,426,"Moderate"
"2743",29.5,83.3,82.2,107.5,25.3,29,2.41,5.2,401,"Poor"
"2744",18.9,43.7,3.3,12.7,25.7,5.8,1.78,5.4,432,"Moderate"
"2745",38.8,90.8,12.6,20.3,29.3,8.3,1.57,6.9,630,"Moderate"
"2746",40.1,95.2,11.5,30.1,34.8,18.6,1.88,5.4,803,"Poor"
"2749",32,50.1,22.7,41.3,22.5,15.1,1.62,8.6,660,"Moderate"
"2750",21.7,65.2,26.3,33.3,13.9,2.5,0.96,11,278,"Good"
"2752",23,41.1,24.8,28.1,18.7,3.4,0.94,10.3,379,"Good"
"2754",24.7,73.9,8.1,16,26.4,5.1,0.98,11,352,"Good"
"2755",33.9,94.5,16.6,42.2,41.7,18.5,2.4,8.1,421,"Poor"
"2756",26.5,67.6,18.4,29,40,12.3,2.17,4.1,598,"Poor"
"2759",30.9,87.1,17.6,32.2,42.7,19.2,1.88,7.6,511,"Poor"
"2762",47.1,109.1,7.8,21.9,36.6,27.1,2.72,4,563,"Hazardous"
"2763",30.5,48.5,4.9,8,17.4,3.9,0.95,13.8,371,"Good"
"2764",24.9,83.7,12.1,20.4,30.8,7.6,1.3,7.6,516,"Moderate"
"2766",30.6,100.8,40,65.9,39,30.7,3.19,4.1,738,"Hazardous"
"2767",26.3,59.4,3.9,7,18.1,7.7,1.05,10.3,526,"Good"
"2768",31.5,76,3.3,10.1,32.2,9.5,1.44,9.3,389,"Moderate"
"2769",24.2,42.1,1.7,7.3,14,8.2,1.13,10.3,258,"Good"
"2770",36.5,86.5,31.4,43,44.1,10.9,2.64,3.6,455,"Poor"
"2771",29.6,44,3.6,10.2,22.3,7.5,1.11,10.2,484,"Good"
"2772",33.4,63.9,6.2,10.6,35,15.7,1.84,5.2,471,"Poor"
"2773",25.9,78,2,8.2,17.3,6.3,1.01,10,477,"Good"
"2774",26.4,61.8,41.4,52.3,23.2,2.3,1.74,5.3,499,"Moderate"
"2775",33.1,80.3,28.6,49.4,27.8,15.3,1.46,5.6,609,"Moderate"
"2776",21.4,49.2,5.4,12.6,20.1,4.1,1.08,14.5,351,"Good"
"2778",30.6,49.5,26.5,30.3,16.7,5.6,1.02,11.4,217,"Good"
"2779",25,56.6,3.9,10.9,16.5,4,1.06,11.1,583,"Good"
"2780",18,44.7,18.5,22.8,21.2,9.6,0.99,16,470,"Good"
"2781",24.8,73.6,10.8,13.4,22.1,3.7,1.16,10.4,450,"Good"
"2782",47.5,101.4,137,157.7,50.1,16.5,2.37,5.1,638,"Hazardous"
"2783",42.9,80.5,3.8,7.1,24,9.4,1.3,6.6,553,"Moderate"
"2784",24.2,56.4,2.5,12,11.7,3.2,0.98,11.6,340,"Good"
"2785",33,68.5,2.3,13.4,31,12.8,1.34,5.9,620,"Moderate"
"2786",25.5,69.6,8.1,13.5,14.5,7.5,1.12,10.3,313,"Good"
"2787",35.1,69.4,3,3.7,34.9,17.7,1.66,6.6,632,"Poor"
"2790",26.1,76.9,9.2,15.5,24.2,9.9,1.19,6.5,299,"Moderate"
"2791",23,69.6,12.6,18.1,25.6,6.1,1.24,10.2,521,"Good"
"2793",44.4,99.7,1.9,4.2,33.4,6.3,2.88,4.9,710,"Hazardous"
"2794",40,71.3,0.5,4.4,14.5,16.1,1.41,5.1,318,"Moderate"
"2796",28.2,63.8,2.4,7.5,20.9,6.8,0.83,10.6,317,"Good"
"2797",32.9,47.3,37.9,46.2,20.1,3.9,1.47,10.3,419,"Moderate"
"2799",29.7,53,18,30.5,27.8,8.6,1.36,5.1,488,"Moderate"
"2800",36.2,80.6,13.9,22,28.7,13.3,1.56,7.5,483,"Moderate"
"2802",33.7,91.2,17.2,29,25.1,12,1.43,6.3,505,"Moderate"
"2803",30.4,59.1,3.9,14.9,28.9,12.3,1.67,5.6,487,"Moderate"
"2805",17.2,75.7,22.8,29.4,23.7,2.3,1.11,10.7,389,"Good"
"2806",28.2,71.4,9.2,25.5,34,6.2,2.35,3.2,594,"Hazardous"
"2807",32.4,62.9,7.7,19.6,28.3,6.7,1.38,9.9,562,"Moderate"
"2808",25.4,54.5,4,9.8,14.8,6.6,1.02,11,480,"Good"
"2809",25.4,62.6,4.2,7.4,18.3,4.5,1.03,10.5,518,"Good"
"2810",20.5,71.3,4.6,9.7,19.5,7.4,1.07,11.4,298,"Good"
"2811",25,81.3,4.3,7.8,23.1,6.7,1.14,10.1,329,"Good"
"2812",29.8,76.4,3.5,8.2,22.1,4.9,0.93,11.5,284,"Good"
"2813",29.4,50.2,0.5,13.4,23.4,7.9,1.64,19.4,448,"Moderate"
"2814",32.2,58.7,5,15,33.9,7.3,1.64,6.8,516,"Moderate"
"2815",18.6,75.3,3.5,10,11.6,2.6,0.98,11.9,375,"Good"
"2816",39.9,83.6,11.8,39.4,46.9,27.6,1.9,6.8,438,"Poor"
"2817",21.9,52.7,7.3,13.7,26.9,5.8,1.16,12.2,232,"Good"
"2818",34,75.9,10,18,30.4,5.2,1.57,5.2,356,"Moderate"
"2819",24.1,72.6,15.9,18.3,14.8,4.3,1.15,12.5,317,"Good"
"2820",24.6,55.1,2.8,9.7,19.9,7,0.93,10.6,448,"Good"
"2821",25.8,89.6,3.6,6.3,18.1,10.7,1.59,7.9,467,"Moderate"
"2824",21.8,71.2,17,21.4,20.4,8.4,0.92,11.5,311,"Good"
"2825",24.2,59.3,5.4,7.7,28.5,4.2,0.99,12.2,569,"Good"
"2827",27.8,86.2,4,17.4,22.2,11,1.57,5.3,662,"Moderate"
"2828",33.8,72.1,3.7,18.3,29.7,6.8,1.16,5.9,625,"Moderate"
"2829",30.9,90.7,38.7,52,37,3.6,1.65,5.3,451,"Moderate"
"2830",24.9,74.3,12.8,15.1,19.2,7.2,0.96,10.3,496,"Good"
"2831",25.3,45,15.5,21.4,22.5,4.9,1.02,10.9,334,"Good"
"2832",30.9,57.8,15.3,28.1,26.5,10.6,1.35,5.1,380,"Moderate"
"2835",27,54.9,1.5,5.6,16.1,3.5,0.96,11.6,482,"Good"
"2836",37.8,77.8,7.1,22.8,32.2,6.8,1.59,5.3,399,"Moderate"
"2838",36.9,83.1,8.9,34.8,52.1,1.5,2.89,3.3,648,"Hazardous"
"2839",29,51.2,7.6,16,30.6,15.2,1.48,5.8,660,"Moderate"
"2841",34,64.2,14.6,32.3,47.4,8.8,1.47,5.1,434,"Poor"
"2842",24.3,61.4,16.6,22.3,13.5,3.7,1.04,10.2,226,"Good"
"2843",26,54.6,3.9,10,23.6,4.3,1.11,11.4,298,"Good"
"2844",29.4,53.6,5.6,15.9,28.9,8.5,1.61,8.9,384,"Moderate"
"2845",27.5,66.2,1.8,7,27.2,7.3,1.06,11.3,326,"Good"
"2847",22.2,61.2,2.4,5.8,21.6,3.8,1.13,11.5,459,"Good"
"2848",34.9,69.9,10.7,17.5,23,12,1.28,6.9,720,"Moderate"
"2849",23.8,88.2,4.5,18.4,30.8,18,1.94,3.4,409,"Poor"
"2850",26.8,79.8,15.1,33,28.6,14.6,1.56,4.2,367,"Poor"
"2851",24.6,47.1,17.3,23,14.8,5.5,1.05,12.8,412,"Good"
"2852",40.7,108.7,41.1,79.6,38.8,21,2.07,2.7,803,"Hazardous"
"2853",26,72.8,3.4,10.2,25.1,-0.2,1.05,12.5,437,"Good"
"2854",22.1,53.1,4,9.9,19.3,6,1.03,10.1,292,"Good"
"2856",28.8,59.9,17,23.5,34.5,23.5,1.63,8.7,446,"Poor"
"2857",36.6,69.9,46,59.1,46.1,6.6,1.84,3.6,649,"Poor"
"2858",33.7,85,5.4,21.5,34.2,9.5,1.1,7.5,687,"Moderate"
"2859",20.5,47.4,1.4,6.6,17.7,6.6,1.08,13.2,427,"Good"
"2860",30.8,60.8,12.6,21.9,21.1,7.1,1.33,5.5,596,"Moderate"
"2861",36.8,60,10.1,30.6,27.6,8.9,1.73,3.7,762,"Poor"
"2863",32.9,84.6,4.3,1.9,29.8,3.9,1.87,4,723,"Poor"
"2864",27.1,63,1.7,5.2,25,4.9,1.02,11.4,583,"Good"
"2865",28.1,69,0.5,2.8,19.5,6.9,1.06,11.8,491,"Good"
"2866",26,63.6,26.7,44.6,27.6,6.8,1.38,6.5,444,"Moderate"
"2867",26.3,60.5,10,18.9,24.6,3.7,0.97,10.1,459,"Good"
"2868",32.8,53.2,8.1,24.5,26.3,11.2,1.61,5.4,363,"Moderate"
"2870",32.2,103.1,31.8,39.9,34.3,7.3,1.58,4.9,402,"Poor"
"2872",23.2,73.3,0.4,16.2,26.7,7.7,1.93,5.9,543,"Moderate"
"2873",30.5,76,30.7,48.8,25.3,3.3,1.56,7.3,721,"Moderate"
"2874",30.9,82,58.6,79.4,36.7,12.1,2.38,5.7,793,"Poor"
"2877",41.5,96.7,30.7,47.9,34,15.8,2.02,3.4,584,"Poor"
"2878",38.9,66.7,49.1,54,26.6,16.7,2.39,5.3,758,"Poor"
